"","country","countrynumber","year","legelec","preselec","regime","regime_leg","eighties","nineties","old","avemag","districts","eneg","enep","enep_others","enep1","enpp","enpp_others","enpp1","enpres","medmag","newdem","proximity1","proximity2","seats","upperseats","uppertier","twoelections","twoelections1"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Antigua",144,1984,1,0,0,0,1,0,1,1,17,NA,1.92,7.2,1.94,1.12,5.9,1.13,0,1,1,0,0,17,0,0,0,0
"7","Antigua",144,1989,1,0,0,0,0,0,1,1,17,NA,1.98,0.9,1.98,1.27,0,1.27,0,1,0,0,0,17,0,0,0,0
"8","Antigua",144,1994,1,0,0,0,0,1,1,1,17,NA,2.07,0,2.07,1.97,0,1.97,0,1,1,0,0,17,0,0,0,0
"9","Antigua",144,1999,1,0,0,0,0,0,1,1,17,NA,2.09,1.4,2.095,1.8,0,1.8,0,1,0,0,0,17,0,0,0,0
"10","Argentina",66,1946,1,1,0,0,0,0,1,10.53,15,1.3421,5.19,13.8,5.75,3.69,6.3,3.74,2.09,NA,1,1,1,158,0,0,0,0
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Argentina",66,1951,1,1,0,0,0,0,1,10.53,15,1.3421,1.97,0,1.97,1.21,0,1.21,1.96,NA,0,1,1,158,0,0,0,0
"13","Argentina",66,1954,1,0,0,0,0,0,1,4.56,17,1.3421,1.93,0,1.93,1.26,0,1.26,1.96,NA,0,0.2,0,155,0,0,0,0
"14","Argentina",66,1958,1,1,0,0,0,0,1,8.13,23,1.3421,2.83,8.3,2.885,1.72,0,1.72,2.65,NA,1,1,1,187,0,0,0,0
"15","Argentina",66,1960,1,0,0,0,0,0,1,4.17,23,1.3421,4.93,14.5,5.485,2.12,1,2.12,2.65,NA,0,0.2,0,192,0,0,0,0
"17","Argentina",66,1963,1,1,0,0,0,0,1,8.35,23,1.3421,5.57,11.1,5.98,4.87,8.9,5.06,3.9,NA,1,1,1,192,0,0,0,0
"18","Argentina",66,1965,1,0,0,0,0,0,1,4.17,23,1.3421,4.87,10.6,5.155,4.62,1.6,4.62,3.9,NA,0,0.33,0,192,0,0,0,0
"19","Argentina",66,1973,1,1,0,0,0,0,1,10.13,24,1.3421,3.19,0.2,3.19,2.9,6.2,2.94,2.66,18,1,1,1,243,0,0,0,0
"20","Argentina",66,1983,1,1,0,0,0,0,1,10.58,24,1.3421,2.63,0,2.63,2.19,0,2.19,2.3,18,1,1,1,254,0,0,0,0
"21","Argentina",66,1985,1,0,0,0,1,0,1,5.29,24,1.3421,4.24,1.9,4.24,3.36,0,3.36,2.3,9,0,0.33,0,254,0,0,0,0
"22","Argentina",66,1987,1,0,0,0,0,0,1,5.52,23,1.3421,3.14,0.75,3.14,2.63,0,2.63,2.3,5,0,0.33,0,252,0,0,0,0
"23","Argentina",66,1989,1,1,0,0,0,0,1,5.29,24,1.3421,3.35,0.66,3.35,2.71,0,2.71,2.91,9,0,1,1,254,0,0,0,0
"24","Argentina",66,1991,1,0,0,0,0,0,1,5.29,24,1.3421,3.57,1.07,3.57,2.91,4.8,2.93,2.91,5,0,0.33,0,254,0,0,0,0
"25","Argentina",66,1993,1,0,0,0,0,0,1,5.29,24,1.3421,3.37,0.53,3.37,2.7,0,2.7,2.91,9,0,0.33,0,257,0,0,0,0
"26","Argentina",66,1995,1,1,0,0,0,1,1,5.42,24,1.3421,3.58,1.65,3.58,2.81,0.8,2.81,2.75,5,0,1,1,257,0,0,0,0
"27","Argentina",66,1997,1,0,0,0,0,0,1,5.29,24,1.3421,3.65,5.83,3.65,3.33,0,3.33,2.75,9,0,0,0,257,0,0,0,0
"28","Argentina",66,1999,1,1,0,0,0,0,1,5.42,24,1.3421,3.15,8.61,3.225,2.57,0,2.57,2.56,5,0,1,1,257,0,0,0,0
"31","Australia",129,1946,1,0,0,0,0,0,1,1,75,1.1744,2.74,2.3,2.74,2.4,1.4,2.4,0,1,0,0,0,75,0,0,0,0
"32","Australia",129,1949,1,0,0,0,0,0,1,1,123,1.1744,2.64,2.2,2.64,2.62,0,2.62,0,1,0,0,0,123,0,0,0,0
"33","Australia",129,1951,1,0,0,0,0,0,1,1,123,1.1744,2.49,1,2.49,2.56,0,2.56,0,1,0,0,0,123,0,0,0,0
"34","Australia",129,1954,1,0,0,0,0,0,1,1,123,1.1744,2.46,1.7,2.46,2.55,0,2.55,0,1,0,0,0,123,0,0,0,0
"35","Australia",129,1955,1,0,0,0,0,0,1,1,124,1.1744,2.73,1.4,2.735,2.58,0,2.58,0,1,0,0,0,124,0,0,0,0
"36","Australia",129,1958,1,0,0,0,0,0,1,1,124,1.1744,2.97,0.7,2.97,2.59,0,2.59,0,1,0,0,0,124,0,0,0,0
"37","Australia",129,1961,1,0,0,0,0,0,1,1,124,1.1744,2.81,0.9,2.81,2.52,0,2.52,0,1,0,0,0,124,0,0,0,0
"38","Australia",129,1963,1,0,0,0,0,0,1,1,124,1.1744,2.79,0.5,2.79,2.66,0,2.66,0,1,0,0,0,124,0,0,0,0
"39","Australia",129,1966,1,0,0,0,0,0,1,1,124,1.1744,2.98,1.5,2.98,2.63,0.8,2.63,0,1,0,0,0,124,0,0,0,0
"40","Australia",129,1969,1,0,0,0,0,0,1,1,125,1.1744,2.83,2.7,2.83,2.61,0,2.61,0,1,0,0,0,125,0,0,0,0
"41","Australia",129,1972,1,0,0,0,0,0,1,1,125,1.1744,2.77,1.1,2.77,2.47,0,2.47,0,1,0,0,0,125,0,0,0,0
"42","Australia",129,1974,1,0,0,0,0,0,1,1,125,1.1744,2.66,0.4,2.66,2.52,0,2.52,0,1,0,0,0,125,0,0,0,0
"43","Australia",129,1975,1,0,0,0,0,0,1,1,127,1.1744,2.69,1.4,2.7,2.51,0,2.51,0,1,0,0,0,127,0,0,0,0
"44","Australia",129,1977,1,0,0,0,0,0,1,1,124,1.1744,3.11,1.1,3.115,2.45,0,2.45,0,1,0,0,0,124,0,0,0,0
"45","Australia",129,1980,1,0,0,0,0,0,1,1,125,1.1744,2.81,1.3,2.81,2.64,0,2.64,0,1,0,0,0,125,0,0,0,0
"46","Australia",129,1983,1,0,0,0,0,0,1,1,125,1.1744,2.67,1.4,2.67,2.23,0,2.23,0,1,0,0,0,125,0,0,0,0
"47","Australia",129,1984,1,0,0,0,1,0,1,1,148,1.1744,2.79,1.1,2.79,2.38,0,2.38,0,1,0,0,0,148,0,0,0,0
"48","Australia",129,1987,1,0,0,0,0,0,1,1,148,1.1744,2.9,2,3.02,2.28,0,2.28,0,1,0,0,0,148,0,0,0,0
"49","Australia",129,1990,1,0,0,0,0,0,1,1,148,1.1744,3.33,5.9,3.34,2.35,0.7,2.35,0,1,0,0,0,148,0,0,0,0
"50","Australia",129,1993,1,0,0,0,0,0,1,1,147,1.1744,2.87,7.1,2.88,2.38,1.4,2.39,0,1,0,0,0,147,0,0,0,0
"51","Australia",129,1996,1,0,0,0,0,1,1,1,148,1.1744,3.19,4.06,3.21,2.62,3.4,2.62,0,1,0,0,0,148,0,0,0,0
"52","Australia",129,1998,1,0,0,0,0,0,1,1,148,1.1744,3.46,1.91,3.46,2.48,0.7,2.48,0,1,0,0,0,148,0,0,0,0
