country	countrynumber	year	legelec	preselec	regime	regime_leg	eighties	nineties	old	avemag	districts	eneg	enep	enep_others	enep1	enpp	enpp_others	enpp1	enpres	medmag	newdem	proximity1	proximity2	seats	upperseats	uppertier	twoelections	twoelections1
Albania	143	1992	1	0	0	0	0	0	0	1	100	1.10693	2.19	0.2	2.19	1.95	0	1.95	0	1	1	0	0	140	40	28.57	0	0
Albania	143	1996	1	0	0	0	0	1	0	1	115	1.10693	2.73	9.4	2.785	1.31	0	1.31	0	1	0	0	0	140	25	17.86	0	0
Albania	143	1997	1	0	0	0	0	0	0	1	115	1.10693	2.87	0	2.87	2.07	0	2.07	0	1	0	0	0	155	40	25.8	0	0
Andorra	195	1993	1	0	0	0	0	0	0	2	7	NA	NA	NA	NA	4.96	21.4	6.14	0	2	1	0	0	28	14	50	0	0
Andorra	195	1997	1	0	0	0	0	1	0	2	7	NA	2.6	8	2.62	2.58	0	2.58	0	2	0	0	0	28	14	50	0	0
Antigua	144	1984	1	0	0	0	1	0	1	1	17	NA	1.92	7.2	1.94	1.12	5.9	1.13	0	1	1	0	0	17	0	0	0	0
Antigua	144	1989	1	0	0	0	0	0	1	1	17	NA	1.98	0.9	1.98	1.27	0	1.27	0	1	0	0	0	17	0	0	0	0
Antigua	144	1994	1	0	0	0	0	1	1	1	17	NA	2.07	0	2.07	1.97	0	1.97	0	1	1	0	0	17	0	0	0	0
Antigua	144	1999	1	0	0	0	0	0	1	1	17	NA	2.09	1.4	2.095	1.8	0	1.8	0	1	0	0	0	17	0	0	0	0
Argentina	66	1946	1	1	0	0	0	0	1	10.53	15	1.3421	5.19	13.8	5.75	3.69	6.3	3.74	2.09	NA	1	1	1	158	0	0	0	0
Argentina	66	1948	1	0	0	0	0	0	1	5.27	15	1.3421	NA	NA	NA	1.75	0	1.75	2.09	NA	0	0.2	0	158	0	0	0	0
Argentina	66	1951	1	1	0	0	0	0	1	10.53	15	1.3421	1.97	0	1.97	1.21	0	1.21	1.96	NA	0	1	1	158	0	0	0	0
Argentina	66	1954	1	0	0	0	0	0	1	4.56	17	1.3421	1.93	0	1.93	1.26	0	1.26	1.96	NA	0	0.2	0	155	0	0	0	0
Argentina	66	1958	1	1	0	0	0	0	1	8.13	23	1.3421	2.83	8.3	2.885	1.72	0	1.72	2.65	NA	1	1	1	187	0	0	0	0
Argentina	66	1960	1	0	0	0	0	0	1	4.17	23	1.3421	4.93	14.5	5.485	2.12	1	2.12	2.65	NA	0	0.2	0	192	0	0	0	0
Argentina	66	1962	1	0	1	0	0	0	1	4.17	23	1.3421	5.49	20.1	7.05	NA	NA	NA	2.65	NA	0	0.6	0	192	0	0	0	0
Argentina	66	1963	1	1	0	0	0	0	1	8.35	23	1.3421	5.57	11.1	5.98	4.87	8.9	5.06	3.9	NA	1	1	1	192	0	0	0	0
Argentina	66	1965	1	0	0	0	0	0	1	4.17	23	1.3421	4.87	10.6	5.155	4.62	1.6	4.62	3.9	NA	0	0.33	0	192	0	0	0	0
Argentina	66	1973	1	1	0	0	0	0	1	10.13	24	1.3421	3.19	0.2	3.19	2.9	6.2	2.94	2.66	18	1	1	1	243	0	0	0	0
Argentina	66	1983	1	1	0	0	0	0	1	10.58	24	1.3421	2.63	0	2.63	2.19	0	2.19	2.3	18	1	1	1	254	0	0	0	0
Argentina	66	1985	1	0	0	0	1	0	1	5.29	24	1.3421	4.24	1.9	4.24	3.36	0	3.36	2.3	9	0	0.33	0	254	0	0	0	0
Argentina	66	1987	1	0	0	0	0	0	1	5.52	23	1.3421	3.14	0.75	3.14	2.63	0	2.63	2.3	5	0	0.33	0	252	0	0	0	0
Argentina	66	1989	1	1	0	0	0	0	1	5.29	24	1.3421	3.35	0.66	3.35	2.71	0	2.71	2.91	9	0	1	1	254	0	0	0	0
Argentina	66	1991	1	0	0	0	0	0	1	5.29	24	1.3421	3.57	1.07	3.57	2.91	4.8	2.93	2.91	5	0	0.33	0	254	0	0	0	0
Argentina	66	1993	1	0	0	0	0	0	1	5.29	24	1.3421	3.37	0.53	3.37	2.7	0	2.7	2.91	9	0	0.33	0	257	0	0	0	0
Argentina	66	1995	1	1	0	0	0	1	1	5.42	24	1.3421	3.58	1.65	3.58	2.81	0.8	2.81	2.75	5	0	1	1	257	0	0	0	0
Argentina	66	1997	1	0	0	0	0	0	1	5.29	24	1.3421	3.65	5.83	3.65	3.33	0	3.33	2.75	9	0	0	0	257	0	0	0	0
Argentina	66	1999	1	1	0	0	0	0	1	5.42	24	1.3421	3.15	8.61	3.225	2.57	0	2.57	2.56	5	0	1	1	257	0	0	0	0
Armenia	145	1995	1	0	0	0	0	1	0	1	150	1.15447	4.18	6.11	4.235	2.21	23.7	2.52	1.39	1	1	0.6	0	190	40	21.05	0	0
Armenia	145	1999	1	0	0	0	0	0	0	1	75	1.15447	4.77	0	4.77	3.97	0	3.97	3.64	1	0	0.6	0	131	56	42.74	0	0
Australia	129	1946	1	0	0	0	0	0	1	1	75	1.1744	2.74	2.3	2.74	2.4	1.4	2.4	0	1	0	0	0	75	0	0	0	0
Australia	129	1949	1	0	0	0	0	0	1	1	123	1.1744	2.64	2.2	2.64	2.62	0	2.62	0	1	0	0	0	123	0	0	0	0
